Surface Velocity Program Example Data
Extraqcted for EnvPhys200
https://gdp.ucsd.edu/ldl/global-drifter-program/
From Drifter #6140
First Sample 02/oct/2000
Sample Interval 6 hours
1 sample number
2 latitude
3 longitude
4 Eastward Speed cm/s
5 Northward Speed cm/s
========================================================
 104,-29.1290,-174.9220,-10.9370,-1.2520
 105,-29.1310,-174.9480,-12.9840,0.8230
 106,-29.1250,-174.9790,-14.5620,-3.9790
 107,-29.1460,-175.0130,-7.4520,-6.2520
 108,-29.1500,-175.0120,-0.3540,1.7480
 109,-29.1390,-175.0140,-0.8150,0.0090
 110,-29.1500,-175.0160,-0.1290,-5.1390
 111,-29.1590,-175.0150,2.1440,-1.3700
 112,-29.1550,-175.0070,2.8920,5.8060
 113,-29.1370,-175.0020,3.2280,6.9660
 114,-29.1280,-174.9920,6.1250,5.2340
 115,-29.1160,-174.9750,7.5970,6.8010
 116,-29.1010,-174.9590,8.5220,8.1890
 117,-29.0840,-174.9370,9.5500,5.8810
 118,-29.0780,-174.9160,8.9070,1.5710
 119,-29.0780,-174.8980,11.0950,3.8280
 120,-29.0630,-174.8670,9.9850,8.5330
 121,-29.0450,-174.8530,8.2980,6.3610
 122,-29.0390,-174.8300,7.0880,5.0950
 123,-29.0250,-174.8220,5.4920,3.2970
 124,-29.0260,-174.8060,9.4860,3.3350
 125,-29.0120,-174.7800,6.0830,10.9500
 126,-28.9830,-174.7790,-0.7830,11.9750
 127,-28.9650,-174.7830,0.1570,12.1480
 128,-28.9360,-174.7780,-4.6440,13.8820
 129,-28.9110,-174.8040,-7.8900,13.5440
 130,-28.8830,-174.8130,-9.2930,14.1670
 131,-28.8560,-174.8450,-12.4400,12.8740
 132,-28.8330,-174.8680,-8.2780,8.2150
 133,-28.8240,-174.8820,-8.1740,5.6300
 134,-28.8110,-174.9040,-9.7960,7.9280
 135,-28.7930,-174.9250,-8.2620,5.3350
 136,-28.7900,-174.9410,-4.7760,-1.3640
 137,-28.7980,-174.9460,-3.6180,0.8680
 138,-28.7870,-174.9570,-0.8400,3.9650
 139,-28.7830,-174.9500,4.6780,2.0750
 140,-28.7790,-174.9360,4.8400,9.5730
 141,-28.7460,-174.9280,-4.1490,13.3180
 142,-28.7270,-174.9540,-5.9580,1.6230
 143,-28.7390,-174.9550,5.2980,2.3710
 144,-28.7170,-174.9310,4.2160,15.6890
 145,-28.6780,-174.9360,-9.0080,17.0450
 146,-28.6510,-174.9710,-6.9610,2.0390
 147,-28.6700,-174.9670,7.8880,4.7370
 148,-28.6320,-174.9360,5.0380,17.5850
 149,-28.6020,-174.9450,-4.3370,14.0750
 150,-28.5780,-174.9550,-3.7770,4.3850
 151,-28.5850,-174.9610,2.6300,0.6460
 152,-28.5750,-174.9440,5.7400,7.0450
 153,-28.5570,-174.9360,4.6940,7.9410
 154,-28.5440,-174.9230,0.6060,-6.2100
 155,-28.5810,-174.9330,15.9670,-22.2140
 156,-28.6310,-174.8520,40.1510,-3.6460
 157,-28.5950,-174.7560,26.0000,31.0010
 158,-28.5100,-174.7380,1.5660,23.6420
 159,-28.5030,-174.7490,18.8280,1.2720
 160,-28.5050,-174.6540,42.0210,23.5730
 161,-28.4110,-174.5640,17.0370,46.6480
 162,-28.3230,-174.5790,-14.8170,29.3150
